"name_1006","GO_IDs","Proteins","NumProteins_F0","ONTOLOGY"
"response to activity","GO:0014823","ANXA2 - CO6A1 - CATA",3,"BP"
"response to estradiol","GO:0032355","CRYAB - ASSY - CATA",3,"BP"
"response to lipopolysaccharide","GO:0032496","ASSY - CO6A1 - PERM",3,"BP"
"response to nutrient","GO:0007584","FAS - ASSY - ACSL1",3,"BP"
"response to wounding","GO:0009611","CO6A1 - VWF - FINC",3,"BP"
"serine-type endopeptidase inhibitor activity","GO:0004867","A2MG - ANXA2 - CO6A3",3,"MF"
"steroid metabolic process","GO:0008202","APOF - LIPS - APOA1",3,"BP"
"substrate adhesion-dependent cell spreading","GO:0034446","LAMC1 - LAMB1 - FINC",3,"BP"
"tissue development","GO:0009888","FAS - CO6A1 - LAMC1",3,"BP"
"triglyceride metabolic process","GO:0006641","CATA - CAV1 - APOF",3,"BP"
"vesicle-mediated transport","GO:0016192","LG3BP - CLH1 - RTN3",3,"BP"
"2-oxoglutarate metabolic process","GO:0006103","CO6A1 - IDHC",2,"BP"
"ATP hydrolysis activity","GO:0016887","KATL2 - TERA",2,"MF"
"Barr body","GO:0001740","H33 - H2AY",2,"CC"
"DNA damage response","GO:0006974","H2AX - TERA",2,"BP"
"G protein-coupled receptor signaling pathway","GO:0007186","GBB4 - APOA1",2,"BP"
"IgG immunoglobulin complex","GO:0071735","IGHA1 - IGHG2",2,"CC"
"L-lactate dehydrogenase activity","GO:0004459","LDHB - LDHA",2,"MF"
"MHC class I protein binding","GO:0042288","TBB5 - TERA",2,"MF"
"NAD binding","GO:0051287","IDHC - LDHB",2,"MF"
"NADP binding","GO:0050661","CATA - IDHC",2,"MF"
"alcohol dehydrogenase (NAD+) activity","GO:0004022","ADH1G - ADH1B",2,"MF"
"all-trans-retinol dehydrogenase (NAD+) activity","GO:0004745","ADH1G - ADH1B",2,"MF"
"amino acid biosynthetic process","GO:0008652","ASSY - PH4H",2,"BP"
"apoptotic signaling pathway","GO:0097190","CAV1 - ANXA6",2,"BP"
"astrocyte development","GO:0014002","VIME - LAMB2",2,"BP"
"autolysosome","GO:0044754","FRIL - FRIH",2,"CC"
"autophagosome","GO:0005776","FRIL - FRIH",2,"CC"
"calcium ion transport","GO:0006816","CAV1 - ANXA6",2,"BP"
"canonical Wnt signaling pathway","GO:0060070","CO6A1 - CAV1",2,"BP"
"carbohydrate binding","GO:0030246","K2C1 - CSPG2",2,"MF"
"carbon dioxide transport","GO:0015670","HBB - HBA",2,"BP"
"carboxylic acid metabolic process","GO:0019752","LDHB - LDHA",2,"BP"
"caveola assembly","GO:0070836","CO6A1 - CAV1",2,"BP"
"cell body","GO:0044297","ACTH - TBB5",2,"CC"
"cell migration","GO:0016477","LAMC1 - LAMB1",2,"BP"
"cell morphogenesis","GO:0000902","CO6A1 - LAMB2",2,"BP"
"cellular response to amino acid stimulus","GO:0071230","ASSY - CO6A1",2,"BP"
"cellular response to lipopolysaccharide","GO:0071222","VIME - ASSY",2,"BP"
"cellular response to misfolded protein","GO:0071218","CAV1 - TERA",2,"BP"
"cellular response to starvation","GO:0009267","ALBU - CAV1",2,"BP"
"centriolar satellite","GO:0034451","CLH1 - K1C18",2,"CC"
"centrosome","GO:0005813","H2AX - PSA1",2,"CC"
"cholesterol efflux","GO:0033344","APOF - APOA1",2,"BP"
"cholesterol transport","GO:0030301","CAV1 - APOA1",2,"BP"
"chromatin binding","GO:0003682","PERM - H2AY",2,"MF"
"chromatin organization","GO:0006325","H4 - H2AY",2,"BP"
"circadian rhythm","GO:0007623","ASSY - CO6A1",2,"BP"
"collagen fibril organization","GO:0030199","ANXA2 - CO6A1",2,"BP"
"complement activation, classical pathway","GO:0006958","IGHA1 - IGHG2",2,"BP"
"copper ion binding","GO:0005507","AOC3 - ALBU",2,"MF"
"cytoskeletal protein binding","GO:0008092","CRYAB - ANXA2",2,"MF"
"cytoskeleton-dependent intracellular transport","GO:0030705","TBA1C - TBB5",2,"BP"
"defense response to Gram-negative bacterium","GO:0050829","IGHM - TRFL",2,"BP"
"double-strand break repair","GO:0006302","H2AX - TERA",2,"BP"
"double-stranded RNA binding","GO:0003725","VIME - CLH1",2,"MF"
"early endosome membrane","GO:0031901","CAV1 - ANXA1",2,"CC"
"endocytic vesicle","GO:0030139","EHD2 - APOA1",2,"CC"
"endocytic vesicle membrane","GO:0030666","CAV1 - RS27A",2,"CC"
"endocytosis","GO:0006897","EHD2 - MYO1C",2,"BP"
"endoplasmic reticulum tubular network formation","GO:0071787","RTN4 - RTN3",2,"BP"
"endoplasmic reticulum tubular network membrane organization","GO:1990809","RTN4 - RTN3",2,"BP"
"endoplasmic reticulum tubular network organization","GO:0071786","RTN4 - RTN3",2,"BP"
"endothelial cell proliferation","GO:0001935","CAV1 - APOA1",2,"BP"
"erythrocyte development","GO:0048821","HBB - HBA",2,"BP"
"extracellular matrix binding","GO:0050840","NID1 - PGS2",2,"MF"
"fatty acid biosynthetic process","GO:0006633","FAS - ACSL1",2,"BP"
"fatty acid metabolic process","GO:0006631","FAS - ACSL1",2,"BP"
"ferric iron binding","GO:0008199","FRIL - FRIH",2,"MF"
"ferrous iron binding","GO:0008198","FRIL - FRIH",2,"MF"
"glutathione metabolic process","GO:0006749","CRYAB - IDHC",2,"BP"
"glycolytic process","GO:0006096","CO6A1 - LDHA",2,"BP"
"glycosaminoglycan binding","GO:0005539","PGS2 - CSPG2",2,"MF"
"haptoglobin binding","GO:0031720","HBB - HBA",2,"MF"
"heart development","GO:0007507","CO6A1 - FINC",2,"BP"
"hemoglobin binding","GO:0030492","HBB - HPT",2,"MF"
"hemoglobin complex","GO:0005833","HBB - HBA",2,"CC"
"heterochromatin formation","GO:0031507","H2AX - H2AY",2,"BP"
"high-density lipoprotein particle","GO:0034364","APOF - APOA1",2,"CC"
"immunoglobulin complex, circulating","GO:0042571","IGHA1 - IGHG2",2,"CC"
"induction of bacterial agglutination","GO:0043152","FIBB - FIBA",2,"BP"
"integrin-mediated signaling pathway","GO:0007229","FINC - APOA1",2,"BP"
"intercellular bridge","GO:0045171","TBB5 - TBB6",2,"CC"
"intracellular iron ion homeostasis","GO:0006879","FRIL - FRIH",2,"BP"
"keratinocyte differentiation","GO:0030216","K1C10 - ANXA1",2,"BP"
"kidney development","GO:0001822","ASSY - CATA",2,"BP"
"lactate dehydrogenase activity","GO:0004457","LDHB - LDHA",2,"MF"
"lactate metabolic process","GO:0006089","LDHB - LDHA",2,"BP"
"laminin complex","GO:0043256","LAMB1 - LAMB2",2,"CC"
"laminin-1 complex","GO:0005606","LAMC1 - LAMB1",2,"CC"
"laminin-10 complex","GO:0043259","LAMC1 - LAMB1",2,"CC"
"laminin-11 complex","GO:0043260","LAMC1 - LAMB2",2,"CC"
"late endosome membrane","GO:0031902","ANXA2 - ANXA6",2,"CC"
"ligase activity","GO:0016874","ASSY - ACSL1",2,"MF"
"lipid biosynthetic process","GO:0008610","FAS - ACSL1",2,"BP"
"lipid storage","GO:0019915","CAV1 - APOA1",2,"BP"
"lipid transport","GO:0006869","APOF - APOA1",2,"BP"
"lipid transporter activity","GO:0005319","APOF - APOA1",2,"MF"
"low-density lipoprotein particle","GO:0034362","APOF - APOA1",2,"CC"
"low-density lipoprotein particle receptor binding","GO:0050750","PGBM - CLH1",2,"MF"
"lung development","GO:0030324","ANXA2 - CO6A1",2,"BP"
"mammary gland development","GO:0030879","FAS - CAV1",2,"BP"
"microtubule binding","GO:0008017","CRYAB - KATL2",2,"MF"
"microtubule organizing center","GO:0005815","VIME - K1C18",2,"CC"
"microvillus","GO:0005902","AOC3 - MYO1C",2,"CC"
"molecular adaptor activity","GO:0060090","VIME - CAV1",2,"MF"
"myofibril","GO:0030016","CO6A1 - PSA6",2,"CC"
"negative regulation of amyloid-beta formation","GO:1902430","RTN4 - RTN3",2,"BP"
"negative regulation of angiogenesis","GO:0016525","PGBM - PGS2",2,"BP"
"negative regulation of cell adhesion","GO:0007162","PGBM - LAMB1",2,"BP"
"negative regulation of cell growth","GO:0030308","CRYAB - RTN4",2,"BP"
"negative regulation of fibroblast proliferation","GO:0048147","FRIH - CAV1",2,"BP"
"negative regulation of inflammatory response","GO:0050728","K2C1 - APOA1",2,"BP"
"negative regulation of inflammatory response to antigenic stimulus","GO:0002862","PSA1 - PSB4",2,"BP"
"negative regulation of transcription by RNA polymerase II","GO:0000122","CAV1 - H2AY",2,"BP"
"negative regulation of transport","GO:0051051","ANXA2 - ANXA1",2,"BP"
"nervous system development","GO:0007399","RTN4 - FINC",2,"BP"
"neuron differentiation","GO:0030182","RTN4 - RTN3",2,"BP"
"nitric oxide transport","GO:0030185","HBB - HBA",2,"BP"
"nucleosomal DNA binding","GO:0031492","H33 - H2AY",2,"MF"
"ossification","GO:0001503","TRFL - CO6A1",2,"BP"
"oxidoreductase complex","GO:1990204","LDHB - LDHA",2,"CC"
"oxygen carrier activity","GO:0005344","HBB - HBA",2,"MF"
"oxygen transport","GO:0015671","HBB - HBA",2,"BP"
"oxysterol binding","GO:0008142","CAV1 - HYEP",2,"MF"
"peptidase activator activity","GO:0016504","CAV1 - FINC",2,"MF"
"peptidase activity","GO:0008233","TRFL - DNPEP",2,"MF"
"peptidase inhibitor activity","GO:0030414","A2MG - CO6A3",2,"MF"
"perikaryon","GO:0043204","CRYAB - ASSY",2,"CC"
"peroxisomal matrix","GO:0005782","CATA - IDHC",2,"CC"
"peroxisomal membrane","GO:0005778","CATA - ACSL1",2,"CC"
"phagocytic vesicle","GO:0045335","VIME - MYO1C",2,"CC"
"phagocytic vesicle lumen","GO:0097013","TRFL - PERM",2,"CC"
"phospholipase A2 inhibitor activity","GO:0019834","ANXA2 - ANXA1",2,"MF"
"plasma membrane protein complex","GO:0098797","ANXA2 - PGBM",2,"CC"
"positive regulation of epithelial cell proliferation","GO:0050679","LAMC1 - LAMB1",2,"BP"
"positive regulation of multicellular organismal process","GO:0051240","ANXA2 - ANXA1",2,"BP"
"positive regulation of nitric oxide biosynthetic process","GO:0045429","HBB - ASSY",2,"BP"
"positive regulation of vesicle fusion","GO:0031340","ANXA2 - ANXA1",2,"BP"
"postsynaptic density","GO:0014069","RTN4 - RTN3",2,"CC"
"proteasomal protein catabolic process","GO:0010498","PSB2 - TERA",2,"BP"
"protein heterotetramerization","GO:0051290","K2C1 - K1C10",2,"BP"
"protein phosphatase binding","GO:0019903","TERA - MVP",2,"MF"
"protein serine/threonine kinase activator activity","GO:0043539","TRFL - ACSL1",2,"MF"
"protein transport","GO:0015031","CAV1 - MVP",2,"BP"
"protein ubiquitination","GO:0016567","RS27A - TERA",2,"BP"
"proteoglycan binding","GO:0043394","NID1 - FINC",2,"MF"
"pyruvate catabolic process","GO:0042867","LDHB - LDHA",2,"BP"
"receptor internalization","GO:0031623","CAV1 - CLH1",2,"BP"
"receptor ligand activity","GO:0048018","FINC - APOA1",2,"MF"
"receptor-mediated endocytosis","GO:0006898","PGBM - CLH1",2,"BP"
"regulation of apoptotic process","GO:0042981","RTN4 - TERA",2,"BP"
"regulation of cell migration","GO:0030334","RTN4 - LAMA4",2,"BP"
"regulation of cell shape","GO:0008360","FINC - ANXA1",2,"BP"
"regulation of inflammatory response","GO:0050727","PSA6 - ANXA1",2,"BP"
"regulation of synapse organization","GO:0050807","TBB5 - TERA",2,"BP"
"response to ethanol","GO:0045471","ACTH - CATA",2,"BP"
"response to fatty acid","GO:0070542","ASSY - CATA",2,"BP"
"response to glucose","GO:0009749","CO6A2 - CO6A3",2,"BP"
"response to mechanical stimulus","GO:0009612","CO6A1 - PERM",2,"BP"
"response to muscle activity","GO:0014850","CO6A1 - FINC",2,"BP"
"response to nutrient levels","GO:0031667","ALBU - FAS",2,"BP"
"response to reactive oxygen species","GO:0000302","CO6A1 - CATA",2,"BP"
"response to steroid hormone","GO:0048545","ASSY - IDHC",2,"BP"
"retinoic acid metabolic process","GO:0042573","ADH1G - ADH1B",2,"BP"
"ribonucleoprotein complex","GO:1990904","RS27A - MVP",2,"CC"
"ribosome","GO:0005840","PSA6 - RS27A",2,"CC"
"scaffold protein binding","GO:0097110","VIME - K1C18",2,"MF"
"secretory granule","GO:0030141","TRFL - PERM",2,"CC"
"serine-type endopeptidase activity","GO:0004252","HPT - TRFL",2,"MF"
"single fertilization","GO:0007338","H33 - CO6A1",2,"BP"
"site of DNA damage","GO:0090734","H2AX - H2AY",2,"CC"
"site of double-strand break","GO:0035861","H2AX - TERA",2,"CC"
"skeletal muscle tissue development","GO:0007519","CO6A1 - CAV1",2,"BP"
"small GTPase binding","GO:0031267","CAV1 - MYO1C",2,"MF"
"specific granule lumen","GO:0035580","HPT - TRFL",2,"CC"
"spermatogenesis","GO:0007283","H2AX - H33",2,"BP"
"spindle","GO:0005819","KATL2 - CLH1",2,"CC"
"structural constituent of eye lens","GO:0005212","CRYAB - VIME",2,"MF"
"structural constituent of skin epidermis","GO:0030280","K2C1 - K1C10",2,"MF"
"substantia nigra development","GO:0021762","GBB4 - LDHA",2,"BP"
"telomere organization","GO:0032200","H4 - H33",2,"BP"
"toxic substance binding","GO:0015643","ALBU - ASSY",2,"MF"
"transferase activity","GO:0016740","FAS - METK1",2,"MF"
"translation","GO:0006412","RS27A - EF1A2",2,"BP"
"tricarboxylic acid cycle","GO:0006099","CO6A1 - IDHC",2,"BP"
"ubiquitin-specific protease binding","GO:1990381","CLH1 - TERA",2,"MF"
"(3R)-hydroxyacyl-[acyl-carrier-protein] dehydratase activity","GO:0019171","FAS",1,"MF"
"3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity","GO:0004316","FAS",1,"MF"
"3-oxoacyl-[acyl-carrier-protein] synthase activity","GO:0004315","FAS",1,"MF"
"ADP binding","GO:0043531","TERA",1,"MF"
"ADP-D-ribose binding","GO:0072570","H2AY",1,"MF"
"ADP-D-ribose modification-dependent protein binding","GO:0160002","H2AY",1,"MF"
"ATP metabolic process","GO:0046034","TERA",1,"BP"
"ATPase binding","GO:0051117","CAV1",1,"MF"
"ATPase complex","GO:1904949","TERA",1,"CC"
"AnxA2-p11 complex","GO:1990665","ANXA2",1,"CC"
"BAT3 complex binding","GO:1904288","TERA",1,"MF"
"Bergmann glial cell differentiation","GO:0060020","VIME",1,"BP"
"CENP-A containing nucleosome","GO:0043505","H4",1,"CC"
"DNA damage checkpoint signaling","GO:0000077","H2AX",1,"BP"
"DNA recombination","GO:0006310","H2AX",1,"BP"
"ERAD pathway","GO:0036503","TERA",1,"BP"
"ERBB signaling pathway","GO:0038127","MVP",1,"BP"
"G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger","GO:0007187","ANXA1",1,"BP"
"Golgi to plasma membrane protein transport","GO:0043001","K1C18",1,"BP"
"I band","GO:0031674","CRYAB",1,"CC"
"IgA immunoglobulin complex","GO:0071745","IGHA1",1,"CC"
"IgM B cell receptor complex","GO:0071755","IGHM",1,"CC"
"IgM immunoglobulin complex","GO:0071753","IGHM",1,"CC"
"L-arginine biosynthetic process","GO:0006526","ASSY",1,"BP"
"L-phenylalanine catabolic process","GO:0006559","PH4H",1,"BP"
"M band","GO:0031430","CRYAB",1,"CC"
"MAPK cascade","GO:0000165","CAV1",1,"BP"
"NAD metabolic process","GO:0019674","LDHB",1,"BP"
"NADH metabolic process","GO:0006734","TERA",1,NA
"NADP metabolic process","GO:0006739","IDHC",1,"BP"
"NADPH regeneration","GO:0006740","IDHC",1,"BP"
"NF-kappaB binding","GO:0051059","PSA6",1,"MF"
"NuA4 histone acetyltransferase complex","GO:0035267","ACTBL",1,"CC"
"PCSK9-AnxA2 complex","GO:1990667","ANXA2",1,"CC"
"RNA polymerase II cis-regulatory region sequence-specific DNA binding","GO:0000978","H33",1,"MF"
"RNA polymerase II core promoter sequence-specific DNA binding","GO:0000979","H33",1,"MF"
"RNA polymerase II transcription regulator complex","GO:0090575","ANXA2",1,"CC"
"RNA polymerase II transcription regulatory region sequence-specific DNA binding","GO:0000977","H2AY",1,"MF"
"S-adenosylmethionine biosynthetic process","GO:0006556","METK1",1,"BP"
"S100 protein binding","GO:0044548","ANXA2",1,"MF"
"Schmidt-Lanterman incisure","GO:0043220","ANXA2",1,"CC"
"Schwann cell development","GO:0014044","LAMB2",1,"BP"
"T cell costimulation","GO:0031295","CAV1",1,"BP"
"VCP-NPL4-UFD1 AAA ATPase complex","GO:0034098","TERA",1,"CC"
"VCP-NSFL1C complex","GO:1990730","TERA",1,"CC"
"Weibel-Palade body","GO:0033093","VWF",1,"CC"
"XY body","GO:0001741","H2AX",1,"CC"
"Z disc","GO:0030018","CRYAB",1,"CC"
"[acyl-carrier-protein] S-acetyltransferase activity","GO:0004313","FAS",1,"MF"
"[acyl-carrier-protein] S-malonyltransferase activity","GO:0004314","FAS",1,"MF"
"acetyl-CoA metabolic process","GO:0006084","FAS",1,"BP"
"acrosomal membrane","GO:0002080","CAV1",1,"CC"
"actin binding","GO:0003779","MYO1C",1,"MF"
"actin cytoskeleton organization","GO:0030036","ANXA1",1,"BP"
"actin filament binding","GO:0051015","MYO1C",1,"MF"
"actin filament bundle","GO:0032432","CRYAB",1,"CC"
"actin filament organization","GO:0007015","MYO1C",1,"BP"
"actin filament-based movement","GO:0030048","MYO1C",1,"BP"
"acylglycerol homeostasis","GO:0055090","APOA1",1,"BP"
"acyltransferase activity","GO:0016746","FAS",1,"MF"
"adiponectin-activated signaling pathway","GO:0033211","ACSL1",1,"BP"
"adipose tissue development","GO:0060612","CO6A1",1,"BP"
"adrenal gland development","GO:0030325","APOA1",1,"BP"
"aerobic respiration","GO:0009060","CATA",1,"BP"
"aggresome assembly","GO:0070842","TERA",1,"BP"
"all-trans-retinyl-palmitate hydrolase, all-trans-retinol forming activity","GO:0047376","LIPS",1,"MF"
"alpha-beta T cell differentiation","GO:0046632","ANXA1",1,"BP"
"amine metabolic process","GO:0009308","AOC3",1,"BP"
"amino acid binding","GO:0016597","ASSY",1,"MF"
"aminoacylase activity","GO:0004046","CATA",1,"MF"
"aminopeptidase activity","GO:0004177","DNPEP",1,"MF"
"amyloid-beta clearance by transcytosis","GO:0150093","CLH1",1,"BP"
"amyloid-beta formation","GO:0034205","APOA1",1,"BP"
"anchoring junction","GO:0070161","RTN4",1,"CC"
"angiotensin-activated signaling pathway","GO:0038166","CAV1",1,"BP"
"animal organ morphogenesis","GO:0009887","PGS2",1,"BP"
"animal organ regeneration","GO:0031100","PGBM",1,"BP"
"antifungal humoral response","GO:0019732","TRFL",1,"BP"
"antimicrobial humoral immune response mediated by antimicrobial peptide","GO:0061844","TRFL",1,"BP"
"apolipoprotein A-I receptor binding","GO:0034191","APOA1",1,"MF"
"apolipoprotein receptor binding","GO:0034190","APOA1",1,"MF"
"apoptotic nuclear changes","GO:0030262","CO6A1",1,"BP"
"apoptotic process involved in morphogenesis","GO:0060561","CRYAB",1,"BP"
"arachidonate metabolic process","GO:0019369","HYEP",1,"BP"
"arachidonate secretion","GO:0050482","ANXA1",1,"BP"
"arachidonate-CoA ligase activity","GO:0047676","ACSL1",1,"MF"
"argininosuccinate metabolic process","GO:0000053","ASSY",1,"BP"
"argininosuccinate synthase activity","GO:0004055","ASSY",1,"MF"
"aromatic amino acid metabolic process","GO:0009072","PH4H",1,"BP"
"aspartate metabolic process","GO:0006531","ASSY",1,"BP"
"autophagosome maturation","GO:0097352","TERA",1,"BP"
"axon extension involved in regeneration","GO:0048677","LAMB2",1,"BP"
"axon guidance","GO:0007411","LAMB2",1,"BP"
"axonal fasciculation","GO:0007413","RTN4",1,"BP"
"axonogenesis","GO:0007409","ACTBL",1,"BP"
"azurophil granule","GO:0042582","PERM",1,"CC"
"bilirubin transport","GO:0015723","ALBU",1,"BP"
"biological process involved in interaction with symbiont","GO:0051702","FINC",1,"BP"
"biosynthetic process","GO:0009058","FAS",1,"BP"
"blastocyst formation","GO:0001825","RTN4",1,"BP"
"blood coagulation, common pathway","GO:0072377","FIBA",1,"BP"
"blood vessel diameter maintenance","GO:0097746","HBB",1,"BP"
"blood vessel endothelial cell migration","GO:0043534","APOA1",1,"BP"
"bone development","GO:0060348","CO6A1",1,"BP"
"bone mineralization","GO:0030282","CO6A1",1,"BP"
"bone morphogenesis","GO:0060349","TRFL",1,"BP"
"brush border","GO:0005903","MYO1C",1,"CC"
"calcium ion homeostasis","GO:0055074","CAV1",1,"BP"
"calcium-independent cell-matrix adhesion","GO:0007161","FINC",1,"BP"
"calmodulin binding","GO:0005516","MYO1C",1,"MF"
"camera-type eye development","GO:0043010","CRYAB",1,"BP"
"canonical NF-kappaB signal transduction","GO:0007249","TERA",1,"BP"
"cardiac epithelial to mesenchymal transition","GO:0060317","RTN4",1,"BP"
"cardiac myofibril","GO:0097512","CRYAB",1,"CC"
"cartilage development","GO:0051216","CO6A1",1,"BP"
"catalase activity","GO:0004096","CATA",1,"MF"
"catecholamine biosynthetic process","GO:0042423","PH4H",1,"BP"
"caveolar macromolecular signaling complex","GO:0002095","CAV1",1,"CC"
"caveolin-mediated endocytosis","GO:0072584","CAV1",1,"BP"
"cell body fiber","GO:0070852","ASSY",1,"CC"
"cell junction","GO:0030054","RTN4",1,"CC"
"cell leading edge","GO:0031252","VIME",1,"CC"
"cell migration involved in vasculogenesis","GO:0035441","RTN4",1,"BP"
"cell motility","GO:0048870","ACTBL",1,"BP"
"cell recognition","GO:0008037","CSPG2",1,"BP"
"cell surface receptor signaling pathway","GO:0007166","ANXA1",1,"BP"
"cell-substrate adhesion","GO:0031589","VWF",1,"BP"
"cell-substrate junction assembly","GO:0007044","FINC",1,"BP"
"cellular defense response","GO:0006968","LG3BP",1,"BP"
"cellular detoxification of hydrogen peroxide","GO:0061692","CATA",1,"BP"
"cellular response to acetaldehyde","GO:1905641","ACTH",1,"BP"
"cellular response to amine stimulus","GO:0071418","ASSY",1,"BP"
"cellular response to ammonium ion","GO:0071242","ASSY",1,"BP"
"cellular response to amyloid-beta","GO:1904646","APOA1",1,"BP"
"cellular response to arsenite ion","GO:1903843","TERA",1,"BP"
"cellular response to cAMP","GO:0071320","ASSY",1,"BP"
"cellular response to calcium ion starvation","GO:0072732","ALBU",1,"BP"
"cellular response to glucagon stimulus","GO:0071377","ASSY",1,"BP"
"cellular response to glucocorticoid stimulus","GO:0071385","ANXA1",1,"BP"
"cellular response to growth factor stimulus","GO:0071363","CATA",1,"BP"
"cellular response to heat","GO:0034605","TERA",1,"BP"
"cellular response to hyperoxia","GO:0071455","CAV1",1,"BP"
"cellular response to hypoxia","GO:0071456","RTN4",1,"BP"
"cellular response to interleukin-1","GO:0071347","FIBB",1,"BP"
"cellular response to interleukin-4","GO:0071353","FAS",1,"BP"
"cellular response to interleukin-6","GO:0071354","ACTH",1,"BP"
"cellular response to laminar fluid shear stress","GO:0071499","ASSY",1,"BP"
